Name,Phone,Address,Category,Date,Invoice No.,Quantity,Unit Price,Amount,Description
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,6-7-2019,DAN7466084372,729,10.59,7720.11,729 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,7-8-2019,DAN4770871156,996,348.11,346717.56,996 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,8-11-2019,DAN3806285120,477,164.2,78323.4,477 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,20-2-2019,DAN7220325713,983,55.94,54989.02,983 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,20-5-2019,DAN6445664825,611,97.0,59267.0,611 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,29-4-2019,DAN1742448872,834,310.06,258590.04,834 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,20-10-2019,DAN2681413303,526,14.19,7463.94,526 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,3-7-2019,DAN1017751007,949,205.22,194753.78,949 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,6-8-2019,DAN0424014061,719,20.21,14530.99,719 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,7-4-2019,DAN6350003113,979,41.22,40354.38,979 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,11-9-2019,DAN0463134716,877,265.1,232492.7,877 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,21-3-2019,DAN8462573534,571,171.67,98023.57,571 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,28-5-2019,DAN5581710187,406,34.23,13897.38,406 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,9-11-2019,DAN0132842225,417,10.09,4207.53,417 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,29-7-2019,DAN1401546656,355,129.81,46082.55,355 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,10-2-2019,DAN7346584868,459,240.8,110527.2,459 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,15-3-2019,DAN5217233407,570,333.24,189946.8,570 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,18-8-2019,DAN6531481615,370,23.19,8580.3,370 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,1-2-2019,DAN3754263570,974,33.44,32570.56,974 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,4-10-2019,DAN8148116784,976,367.92,359089.92,976 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,23-8-2019,DAN2704011810,894,367.64,328670.16,894 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,1-6-2019,DAN2127353071,466,276.09,128657.94,466 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,27-7-2019,DAN4033675814,410,25.85,10598.5,410 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,15-10-2019,DAN0507823722,534,353.34,188683.56,534 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,19-11-2019,DAN8570305855,782,289.45,226349.9,782 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,8-2-2019,DAN7478148544,898,384.27,345074.46,898 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,9-9-2019,DAN6372051773,772,307.6,237467.2,772 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,16-7-2019,DAN8708775333,863,30.05,25933.15,863 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,23-1-2019,DAN5647855840,529,158.66,83931.14,529 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,18-5-2019,DAN6721077012,692,23.12,15999.04,692 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,23-5-2019,DAN4487781653,516,5.92,3054.72,516 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,17-11-2019,DAN6407620347,577,248.53,143401.81,577 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,21-10-2019,DAN8157068834,853,148.15,126371.95,853 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,28-7-2019,DAN8483803843,941,59.87,56337.67,941 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,23-3-2019,DAN3050232746,955,2.09,1995.95,955 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,15-10-2019,DAN1825074537,857,80.48,68971.36,857 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,13-9-2019,DAN4806012565,452,103.45,46759.4,452 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,6-5-2019,DAN2333343724,525,173.97,91334.25,525 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,16-4-2019,DAN5274086675,559,11.57,6467.63,559 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,16-9-2019,DAN1406063045,296,26.86,7950.56,296 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,17-3-2019,DAN8867531236,985,346.33,341135.05,985 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,13-6-2019,DAN6586752376,836,85.16,71193.76,836 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,13-3-2019,DAN2612063524,965,163.09,157381.85,965 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,10-9-2019,DAN3350746588,444,51.22,22741.68,444 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,23-4-2019,DAN6318167408,641,99.36,63689.76,641 purchases
Daniel Afriyie,8687656127,DAN ADDRESS,Purchase,10-3-2019,DAN2407314080,450,207.34,93303.0,450 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,6-5-2019,DAV2054817233,740,306.74,226987.6,740 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,2-3-2019,DAV5771632088,889,332.7,295770.3,889 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,4-8-2019,DAV1463352412,532,19.22,10225.04,532 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,3-10-2019,DAV3405377888,588,98.02,57635.76,588 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,10-9-2019,DAV4483643431,547,91.69,50154.43,547 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,17-11-2019,DAV0301328826,407,34.09,13874.63,407 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,3-1-2019,DAV3554813340,641,301.58,193312.78,641 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,25-10-2019,DAV5322152270,857,8.34,7147.38,857 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,4-1-2019,DAV7223535635,812,16.0,12992.0,812 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,18-8-2019,DAV5203087702,966,142.47,137626.02,966 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,4-10-2019,DAV0127620111,415,298.0,123670.0,415 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,9-1-2019,DAV6112263723,625,88.99,55618.75,625 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,12-8-2019,DAV6472772728,391,81.98,32054.18,391 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,25-4-2019,DAV2560637584,854,165.08,140978.32,854 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,27-9-2019,DAV4588440372,472,160.35,75685.2,472 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,11-10-2019,DAV7416217355,825,21.89,18059.25,825 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,26-9-2019,DAV8031070573,775,27.7,21467.5,775 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,29-10-2019,DAV0772066886,389,64.96,25269.44,389 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,14-4-2019,DAV5822382842,905,163.52,147985.6,905 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,5-6-2019,DAV0231846603,518,204.53,105946.54,518 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,5-9-2019,DAV6655625882,705,64.08,45176.4,705 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,14-2-2019,DAV3166626405,923,193.61,178702.03,923 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,2-4-2019,DAV8118834338,943,332.06,313132.58,943 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,3-7-2019,DAV1674525213,657,277.59,182376.63,657 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,22-7-2019,DAV2685726105,524,222.03,116343.72,524 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,12-8-2019,DAV6307403157,386,7.42,2864.12,386 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,29-9-2019,DAV3326070211,834,253.79,211660.86,834 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,5-3-2019,DAV7818854030,873,60.39,52720.47,873 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,14-3-2019,DAV8826546242,890,58.58,52136.2,890 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,24-10-2019,DAV7162014266,979,122.23,119663.17,979 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,15-2-2019,DAV8344754124,557,201.39,112174.23,557 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,3-3-2019,DAV1400868805,682,18.39,12541.98,682 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,5-2-2019,DAV5447687645,803,200.13,160704.39,803 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,9-8-2019,DAV8741038265,697,0.56,390.32,697 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,24-3-2019,DAV4260747364,569,147.5,83927.5,569 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,4-11-2019,DAV7321533211,671,15.79,10595.09,671 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,25-6-2019,DAV7551886107,296,8.52,2521.92,296 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,3-1-2019,DAV7861401488,479,21.33,10217.07,479 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,6-3-2019,DAV5441701735,966,192.88,186322.08,966 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,16-1-2019,DAV8431636433,634,240.69,152597.46,634 purchases
David Sarpong,8367072738,DAV ADDRESS,Purchase,26-5-2019,DAV0834162048,505,231.28,116796.4,505 purchases
